info,lat,lon,type,year
"Attack ID: 129-20  Date:   Vessel: Chemical Tanker  Status: Boarded  Full report: 
 View",4.885277778,-1.700555556,boarded,2020
"Attack ID: 128-20  Date:   Vessel: Offshore Supply Ship  Status: Boarded  Full report: 
 View",16.98083333,82.32444444,boarded,2020
"Attack ID: 127-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",0.0275,-51.00222222,boarded,2020
"Attack ID: 126-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.385833333,104.4522222,boarded,2020
"Attack ID: 125-20  Date:   Vessel: Container  Status: Boarded  Full report: 
 View",-12.02472222,-77.21083333,boarded,2020
"Attack ID: 124-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-0.252777778,117.5916667,boarded,2020
"Attack ID: 123-20  Date:   Vessel: Refrigerated Cargo  Status: Boarded  Full report: 
 View",5.883333333,3.283333333,boarded,2020
"Attack ID: 122-20  Date:   Vessel: Tug  Status: Boarded  Full report: 
 View",1.233888889,103.485,boarded,2020
"Attack ID: 121-20  Date:   Vessel: General Cargo  Status: Boarded  Full report: 
 View",14.54083333,120.8497222,boarded,2020
"Attack ID: 120-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",1.283119444,104.2816667,boarded,2020
"Attack ID: 119-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",10.39358397,107.045786,boarded,2020
"Attack ID: 118-20  Date:   Vessel: Fishing Vessel  Status: Hijacked  Full report: 
 View",4.568888889,1.517777778,hijacked,2020
"Attack ID: 117-20  Date:   Vessel: Chemical Tanker  Status: Boarded  Full report: 
 View",1.716666667,101.4416667,boarded,2020
"Attack ID: 116-20  Date:   Vessel: Drilling Ship  Status: Boarded  Full report: 
 View",4.729722222,-1.590277778,boarded,2020
"Attack ID: 115-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-3.708726384,114.4672394,boarded,2020
"Attack ID: 114-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-0.235175426,117.58564,boarded,2020
"Attack ID: 113-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 ViewAttack ID: 005-20  Date: 2020-01-22 00:00:00  Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",-3.701666667,114.4172222,boarded,2020
"Attack ID: 112-20  Date:   Vessel: Bulk Carrier  Status: Boarded  Full report: 
 View",13.73361111,121.0188889,boarded,2020
"Attack ID: 111-20  Date:   Vessel: Chemical Tanker  Status: Attempted  Full report: 
 View",13.77694444,120.9766667,attempted,2020
"Attack ID: 110-20  Date:   Vessel: Product Tanker  Status: Boarded  Full report: 
 View",1.702222222,101.4522222,boarded,2020
"Attack ID: 109-20  Date:   Vessel: General Cargo  Status: Boarded  Full report: 
 View",-8.710555556,13.3125,boarded,2020
